method,n_runs,time_median_min,time_to_pipeline_median_min,exec_success_rate,operator_errors_mean,strict_errors_mean,field_errors_mean,n_create_pipeline_mean,n_render_pipeline_mean,n_execute_by_agent_mean,n_pipelines_produced_rate
dataflow_agent,36,1.434927656253179,0.7297428170839946,0.25,0.25,0.7222222222222222,0,1.1111111111111112,1,0,1.0
df_agent_slim,36,1.2539249181747436,0.669076422850291,0.3055555555555556,0.25,0.7222222222222222,0,1.1111111111111112,1,0,1.0
df_agent_v2,36,1.4339955806732179,0.7030578970909118,0.4722222222222222,0.2222222222222222,0.6944444444444444,0,1.0833333333333333,1,0,1.0
mcp_only,36,1.4101305047671,0.7165948828061421,0.3611111111111111,0.25,0.7222222222222222,0,1,1,0,1.0
