method,n_runs,time_median_min,time_to_pipeline_median_min,exec_success_rate,operator_errors_mean,strict_errors_mean,field_errors_mean,n_create_pipeline_mean,n_render_pipeline_mean,n_execute_by_agent_mean,n_pipelines_produced_rate
dataflow_agent,70,1.8256723860899609,1.422773051261902,0.12857142857142856,2.914285714285714,1.6714285714285715,0,0.9571428571428572,0.9,0,0.9
df_agent_v2,60,3.395191792647044,1.9126876970132192,0.13333333333333333,1.9333333333333333,1.2166666666666666,0,0.8833333333333333,0.85,0,0.8333333333333334
direct_cc,68,,,0.0,1.8235294117647058,1.8235294117647058,0,0,0,0,0.0
mcp_only,70,1.6754730184872946,1.3572419186433158,0.15714285714285714,2.7142857142857144,1.542857142857143,0,1.0571428571428572,0.9571428571428572,0,0.9714285714285714
