method,n_runs,time_median_min,time_to_pipeline_median_min,exec_success_rate,operator_errors_mean,strict_errors_mean,field_errors_mean,n_create_pipeline_mean,n_render_pipeline_mean,n_execute_by_agent_mean,n_pipelines_produced_rate
df_agent_only_dev,30,1.9756189684073129,1.8149436155954997,0.26666666666666666,1.7666666666666666,1.1666666666666667,0,1.1,0.9333333333333333,0,0.9666666666666667
df_agent_slim,30,1.5456442435582478,1.227850349744161,0.2,1.7,1.2333333333333334,0,0.9666666666666667,0.9666666666666667,0,0.9666666666666667
